"Reporting starts","Reporting ends","Campaign name","Campaign delivery",Results,"Result indicator","Unique CTR (link click-through rate)","Results rate per link clicks","Cost per results","Ad set budget","Ad set budget type","Amount spent (BRL)",Impressions,Reach,"Total messaging contacts","New messaging contacts",Purchases,Ends,"Attribution setting","Cost per purchase (BRL)","Results (initial)","Results (initial) indicator"
2026-08-01,2026-08-31,2-AGX-COPART-NOVACONTA-MOTOS,inactive,,,0,,,50,Daily,0,0,0,,,,Ongoing,"7-day click",,,
2026-08-01,2026-08-31,3-AGX-COPART-TRÁFEGO-VENDA-VEÍCULOS,inactive,,,0,,,66,Daily,0,0,0,,,,Ongoing,"7-day click or 1-day view",,,
2026-08-01,2026-08-31,4-AGX-COPART-CONVERSÕES-MULHERES,inactive,,,0,,,65,Daily,0,0,0,,,,Ongoing,"7-day click or 1-day view",,,
2026-08-01,2026-08-31,5-AGX-COPART-ENGAJAMENTO,inactive,,,0,,,15,Daily,0,0,0,,,,Ongoing,"7-day click or 1-day view",,,
2026-08-01,2026-08-31,6-AGX-COPART-LEILAO-RECUPERADOS-FINANCIAMENTO,inactive,,,0,,,61,Daily,0,0,0,,,,Ongoing,"7-day click or 1-day view",,,
2026-08-01,2026-08-31,8-AGX-COPART-ENGAJAMENTO-MOTOS,inactive,,,0,,,33,Daily,0,0,0,,,,Ongoing,"7-day click or 1-day view",,,
2026-08-01,2026-08-31,"02.02 - [CONTÍNUO] | [FB+IG] | [AUTO] | CONSID | TRÁF | CARROS ENCHNETE | 13/08/24 - SEM DATA",inactive,,,0,,,25,Daily,0,0,0,,,,Ongoing,"7-day click or 1-day view",,,
2026-08-01,2026-08-31,"01.01 - [GMZ.MOKE] | [CONTÍNUO] | [FB+IG] | [AUTO] | ALC | MERCEDES BENZ",inactive,0,reach,0,,,40,Daily,0,0,0,,,,Ongoing,"7-day click or 1-day view",,,
2026-08-01,2026-08-31,"03.10 - [CONTÍNUO] | [FB+IG] | [AUTO] | CONV | PIXEL | Venda Direta | 22/11/24 % - SEM DATA",inactive,,,0,,,62.5,Daily,0,0,0,,,,Ongoing,"7-day click or 1-day view",,,
2026-08-01,2026-08-31,"03.10 - [GMZ.MOKE] | [CONTÍNUO] | [FB+IG] | [AUTO] | CONV | Venda Direta -DESEMPREGADO|  | 19/03/25 % - SEM DATA",inactive,,,0,,,"Using ad set budget",0,0,0,0,,,,Ongoing,"7-day click or 1-day view",,,
2026-08-01,2026-08-31,"CONVERSÃO | WHATSAPP | Venda Direta FACEBOOK | FUNDO | 30.05.25 %",inactive,,,0,,,"Using ad set budget",0,0,0,0,,,,1969-12-31,-,,,
2026-08-01,2026-08-31,"CONVERSÃO | WHATSAPP % | Venda Direta INSTAGRAM GLADSTON | FUNDO | 30.04.25",inactive,,,0,,,44,Daily,0,0,0,,,,Ongoing,"7-day click or 1-day view",,,
2026-08-01,2026-08-31,"CONVERSÃO | WHATSAPP % | Venda Direta FACEBOOK GLADSTON  | FUNDO | 30.05.25",inactive,,,0,,,45,Daily,0,0,0,,,,Ongoing,"7-day click or 1-day view",,,
2026-08-01,2026-08-31,"CONVERSÃO | LEILÃO | SDA | LEILÕES SALÃO | FUNDO - 24/11/25 +",inactive,,,0,,,"Using ad set budget",0,0,0,0,,,,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",,,
2026-08-01,2026-08-31,"CONVERSÃO | LEILÃO | INSTITUCIONAL | FUNDO | 07.06.24 — Cópia +",inactive,,,0,,,100,Daily,0,0,0,,,,Ongoing,"7-day click or 1-day view",,,
